Price,Close,High,Low,Open,Volume
Ticker,VCB,VCB,VCB,VCB,VCB
Date,,,,,
2020-03-13,71000.0,73000.0,66700.0,66700.0,1859750
2020-03-16,67100.0,71000.0,66500.0,71000.0,1022550
2020-03-17,67500.0,67500.0,63600.0,63600.0,1364590
2020-03-18,69300.0,70700.0,68000.0,68000.0,1099800
2020-03-19,66000.0,68700.0,66000.0,67300.0,1191150
2020-03-20,61500.0,66300.0,61500.0,66000.0,2763360
2020-03-23,57200.0,58500.0,57200.0,57600.0,1875070
2020-03-24,58000.0,58400.0,56600.0,57200.0,1498070
2020-03-25,62000.0,62000.0,59700.0,60000.0,1835730
2020-03-26,63200.0,64700.0,61500.0,62000.0,1484590
2020-03-27,64100.0,65900.0,62500.0,63300.0,1569620
2020-03-30,61000.0,61400.0,59800.0,60100.0,1637330
2020-03-31,62000.0,64100.0,60000.0,61500.0,957500
2020-04-01,65000.0,65900.0,61500.0,61500.0,1229320
2020-04-02,65000.0,65000.0,65000.0,65000.0,0
2020-04-03,65500.0,66300.0,64000.0,65000.0,1726690
2020-04-06,68000.0,68300.0,66000.0,67500.0,2111200
2020-04-07,68200.0,69000.0,66800.0,68000.0,1773570
2020-04-08,67500.0,68200.0,66800.0,67000.0,1778380
2020-04-09,71000.0,72000.0,68000.0,68000.0,1795170
2020-04-13,70800.0,71800.0,70000.0,70600.0,1046830
2020-04-14,69900.0,70800.0,67800.0,70500.0,1944570
2020-04-15,70900.0,71300.0,69700.0,69700.0,1017740
2020-04-16,71200.0,71200.0,69800.0,70000.0,1057050
2020-04-17,71400.0,71800.0,70900.0,71500.0,1473140
2020-04-20,71900.0,72400.0,70800.0,71700.0,1026030
2020-04-21,71500.0,71500.0,67800.0,71000.0,2159110
2020-04-22,69300.0,71100.0,69000.0,69000.0,1612290
2020-04-23,69200.0,71000.0,68800.0,71000.0,1201610
2020-04-24,68900.0,69600.0,67500.0,69200.0,972170
2020-04-27,66800.0,69900.0,66800.0,69900.0,2547060
2020-04-28,67000.0,68500.0,65200.0,66800.0,2052860
2020-04-29,67000.0,67000.0,67000.0,67000.0,0
2020-04-30,67000.0,67000.0,67000.0,67000.0,0
2020-05-01,67000.0,67000.0,67000.0,67000.0,0
2020-05-04,67400.0,68100.0,66800.0,68000.0,852260
2020-05-05,66800.0,67700.0,66800.0,67300.0,1007640
2020-05-06,67600.0,67700.0,66500.0,67300.0,855770
2020-05-07,69700.0,69700.0,67700.0,67800.0,1936540
2020-05-08,73500.0,74200.0,69800.0,70000.0,3865590
2020-05-11,74500.0,74500.0,72500.0,73500.0,1696160
2020-05-12,75600.0,76000.0,74400.0,74600.0,2199500
2020-05-13,75600.0,76500.0,72000.0,75600.0,1851970
2020-05-14,76000.0,76400.0,74900.0,75000.0,2121750
2020-05-15,76000.0,76000.0,76000.0,76000.0,0
2020-05-18,76000.0,76000.0,76000.0,76000.0,0
2020-05-19,80100.0,80100.0,78800.0,79900.0,1129270
2020-05-20,80100.0,80100.0,80100.0,80100.0,0
2020-05-21,81200.0,81200.0,79600.0,80000.0,1425500
2020-05-22,81000.0,81300.0,80000.0,81200.0,805710
2020-05-26,82600.0,82600.0,81000.0,81000.0,740930
2020-05-27,82900.0,84400.0,82900.0,83000.0,817770
2020-05-28,84500.0,85100.0,83000.0,83000.0,1849310
2020-05-29,85200.0,86000.0,84500.0,85000.0,1161180
2020-06-01,86500.0,86700.0,85500.0,85500.0,725310
2020-06-02,86600.0,86900.0,86300.0,86900.0,1009040
2020-06-03,87900.0,87900.0,86900.0,87000.0,462750
2020-06-04,89000.0,89000.0,88000.0,88000.0,450240
2020-06-05,89000.0,89000.0,89000.0,89000.0,0
2020-06-08,89000.0,89000.0,89000.0,89000.0,0
2020-06-09,89000.0,89000.0,89000.0,89000.0,0
