Price,Close,High,Low,Open,Volume,Week
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT,
Date,,,,,,
2010-09-09,18.339693069458008,18.492459316472296,18.324416007686338,18.477183711601427,46028900,2010-09-06
2010-09-10,18.217485427856445,18.354976114820847,18.17165568450207,18.31678344794114,58284300,2010-09-06
2010-09-13,19.17991828918457,19.317408972632684,18.40080538757942,18.484827795664653,114680400,2010-09-13
2010-09-14,19.118804931640625,19.363232082087848,19.01186696064441,19.126443462204694,87160400,2010-09-13
2010-09-15,19.187557220458984,19.263939640047134,19.034789467480145,19.172280153780846,56201900,2010-09-13
2010-09-16,19.34795379638672,19.378507916709157,19.1340793248316,19.14171785491221,44548300,2010-09-13
2010-09-17,19.263927459716797,19.50071747280488,19.156990974386915,19.401418059083984,70341600,2010-09-13
2010-09-20,19.42433738708496,19.493082700013662,19.179910255294295,19.309762351170665,49838700,2010-09-20
2010-09-21,19.210460662841797,19.416696577414005,19.156992416152807,19.416696577414005,52675700,2010-09-20
2010-09-22,18.797988891601562,19.072968633665997,18.60703004940943,19.01186186244053,94299400,2010-09-20
2010-09-23,18.66050148010254,18.782715043432596,18.607033228258217,18.721608261767567,46201800,2010-09-20
2010-09-24,18.927837371826172,18.943112969059392,18.775069744293408,18.82089944979321,51948800,2010-09-20
2010-09-27,18.889652252197266,19.08824966424661,18.782715744517102,18.981313156566443,43603300,2010-09-27
2010-09-28,18.851465225219727,19.019508553987624,18.5993995036174,18.94312469294732,56041200,2010-09-27
2010-09-29,18.713973999023438,18.83618759022009,18.6375901403003,18.81327199553287,44318900,2010-09-27
2010-09-30,18.706327438354492,18.96603157240272,18.607029484465606,18.797988320859876,61262700,2010-09-27
2010-10-01,18.62230682373047,18.95839481511203,18.56120004865204,18.92020362702568,62672300,2010-09-27
2010-10-04,18.263307571411133,18.324414356089395,18.164009592646707,18.301498765497296,98143400,2010-10-04
2010-10-05,18.599393844604492,18.675777682404412,18.263305832425168,18.377880860674782,78152900,2010-10-04
2010-10-06,18.66050148010254,18.744523851229676,18.43134995618324,18.576479108975406,50489700,2010-10-04
2010-10-07,18.73689079284668,18.904934127271392,18.545931862268183,18.805636124407023,50096100,2010-10-04
2010-10-08,18.767440795898438,18.828547586719687,18.614674547295724,18.805633450724727,41327800,2010-10-04
2010-10-11,18.782716751098633,18.89729179502479,18.713971433362794,18.89729179502479,27587800,2010-10-11
2010-10-12,18.966032028198242,19.042415855971683,18.66049817400482,18.82854142958612,50141500,2010-10-11
2010-10-13,19.355594635009766,19.508362341041266,19.011868024889296,19.11116747088002,75336500,2010-10-11
2010-10-14,19.271568298339844,19.355590665113986,19.095886492267113,19.31739947488966,51949100,2010-10-11
2010-10-15,19.50836181640625,19.515998890291705,19.271571732735296,19.370871176055573,68954800,2010-10-11
2010-10-18,19.722230911254883,19.821530334739865,19.43961261312176,19.546549108966673,48330500,2010-10-18
2010-10-19,19.172273635864258,19.378509595202143,19.057698588532354,19.30212574468062,66150900,2010-10-18
2010-10-20,19.332674026489258,19.401419330678507,19.172269287981297,19.29448283833987,56283600,2010-10-18
2010-10-21,19.416704177856445,19.508365105846067,19.13408431871438,19.401427113708003,50032400,2010-10-18
